,Time,Count
0,03_37,264
1,05_16,278
2,22_37,230
3,16_40,183
4,12_32,154
5,11_37,160
6,19_13,196
7,15_37,175
8,06_38,281
9,07_15,283
10,05_37,279
11,18_21,190
12,13_38,156
13,02_46,265
14,04_37,271
15,16_22,182
16,10_59,159
17,07_37,287
18,17_15,185
19,19_38,197
20,01_24,252
21,06_22,282
22,20_17,200
23,23_19,237
24,14_15,161
25,11_13,162
26,23_37,237
27,15_17,172
28,22_16,230
29,20_37,205
30,03_18,264
31,04_20,270
32,02_21,261
33,14_38,166
34,18_38,192
35,21_14,213
36,11_14,162
37,17_37,185
38,21_38,216
